r_pytania,kategoria,pytanie,odpowiada,zgaduje,dodatkowo,Wiktoria,Dawid,Patrycja
1,Luźne,Czy kiedykolwiek zacząłeś porządkować coś i skończyło się to wspominkami?,Wiktoria,Patrycja,Dawid,1,0,2
2,Luźne,Czy zdarza Ci się rozmawiać z roślinami w mieszkaniu?,Dawid,Patrycja,Wiktoria,0,1,2
3,Śmieszne,Czy Twoje oczy czasem otwierają się wcześniej niż reszta ciała?,Patrycja,Dawid,Wiktoria,0,2,1
4,Luźne,Czy potrafisz włączyć film i zasnąć przed końcem czołówki?,Wiktoria,Dawid,Patrycja,1,0,1
5,Luźne,"Czy kiedykolwiek udawałeś, że kogoś nie widzisz, żeby nie rozmawiać?",Dawid,Wiktoria,Patrycja,2,2,1
6,Śmieszne,"Czy potrafisz zgubić się we własnym domu, idąc po coś w nocy?",Patrycja,Wiktoria,Dawid,2,1,2
7,Śmieszne,"Czy Twój umysł czasem idzie na wakacje, gdy ktoś coś tłumaczy?",Wiktoria,Patrycja,Dawid,0,0,0
8,Śmieszne,"Czy Twoje myśli czasem jadą autobusem, a Ty zostajesz na przystanku?",Dawid,Patrycja,Wiktoria,0,0,0
9,Luźne,Czy masz nawyk tworzenia playlist na każdą możliwą okazję?,Patrycja,Dawid,Wiktoria,0,0,0
10,Śmieszne,"Czy potrafisz zapamiętać tekst piosenki, ale zapominasz, gdzie zostawiłeś telefon?",Wiktoria,Dawid,Patrycja,0,0,0
11,Śmieszne,"Czy zdarza Ci się kichnąć tak mocno, że wystraszysz nawet siebie?",Dawid,Wiktoria,Patrycja,0,0,0
12,Luźne,Czy potrafisz wytrzymać cały dzień bez narzekania?,Patrycja,Wiktoria,Dawid,0,0,0
