id,text,categories
fun001,"Czy Twoje myśli odpływają w kosmos, gdy ktoś coś tłumaczy?",Śmieszne
fun002,"Czy potrafisz zgubić coś, co trzymasz w ręce?",Śmieszne
fun003,"Czy udajesz, że rozumiesz, o czym ktoś mówi?",Śmieszne
fun004,Czy Twoja reakcja na niespodziankę to zwykle szok i zamieszanie?,Śmieszne
fun005,"Czy Twoje życie to ciągłe szukanie okularów, które masz na głowie?",Śmieszne
fun006,Czy jesteś specjalistą od przewracania się o nic?,Śmieszne
fun007,Czy Twój śmiech rozśmiesza innych bardziej niż żart?,Śmieszne
fun008,Czy próbujesz otworzyć drzwi pilotem od auta?,Śmieszne
fun009,"Czy potrafisz zgubić się w sklepie, który znasz od lat?",Śmieszne
fun010,Czy Twoje reakcje przypominają memy?,Śmieszne
fun011,"Czy zdarza Ci się mówić do zwierząt, jak do ludzi?",Śmieszne
fun012,"Czy potrafisz śpiewać pod prysznicem, nawet jeśli nie znasz słów?",Śmieszne
fun013,"Czy zdarza Ci się gubić telefon, mając go w ręce?",Śmieszne
fun014,"Czy potrafisz zapomnieć, co robiłeś dosłownie kilka sekund temu?",Śmieszne
fun015,Czy kiedykolwiek próbowałeś zrobić coś zbyt skomplikowanego i skończyło się to katastrofą?,Śmieszne
fun016,"Czy masz talent do zapominania, gdzie zostawiłeś klucze?",Śmieszne
fun017,Czy zdarza Ci się śmiać w zupełnie nieodpowiednich momentach?,Śmieszne
fun018,"Czy masz wrażenie, że Twój komputer działa wolniej, kiedy ktoś na Ciebie patrzy?",Śmieszne
fun019,Czy zdarza Ci się mylić dni tygodnia?,Śmieszne
fun020,Czy potrafisz wyobrazić sobie życie bez kawy (nawet na minutę)?,Śmieszne
fun021,"Czy często zapominasz, co chciałeś powiedzieć w trakcie rozmowy?",Śmieszne
fun022,Czy potrafisz naśladować dźwięki zwierząt?,Śmieszne
fun023,Czy zdarza Ci się robić zakupy z pełnym brzuchem?,Śmieszne
fun024,Czy często próbujesz wymawiać trudne słowa na głos i kończy się to śmiechem?,Śmieszne
fun025,Czy masz talent do przypadkowego włączania mikrofonu w dziwnych momentach?,Śmieszne
fun026,"Czy potrafisz zapamiętać tekst piosenki, ale zapominasz, gdzie zostawiłeś telefon?",Śmieszne
fun027,"Czy zdarza Ci się zaczynać rozmowę i nagle zapomnieć, o czym mówisz?",Śmieszne
fun028,"Czy potrafisz zapomnieć, dlaczego wszedłeś do innego pokoju?",Śmieszne
fun029,Czy masz specjalną technikę na znalezienie zgubionych rzeczy (nawet jeśli to działa przez przypadek)?,Śmieszne
fun030,"Czy Twoje zwierzęta czasem patrzą na Ciebie, jakbyś był dziwny?",Śmieszne
swi001,"Czy uważasz, że panuje równość płci w społeczeństwie?",Światopoglądowe
swi002,Jak bardzo religijny jesteś?,Światopoglądowe
swi003,"Czy uważasz, że technologia przynosi więcej dobra niż zła?",Światopoglądowe
swi004,Jak bardzo ważna jest dla Ciebie wolność słowa?,Światopoglądowe
swi005,"Czy uważasz, że zmiany klimatu to poważny problem?",Światopoglądowe
swi006,Jak bardzo zgadzasz się z zasadą ‘oko za oko’?,Światopoglądowe
swi007,Czy wierzysz w przeznaczenie?,Światopoglądowe
swi008,Jak ważna jest dla Ciebie tradycja?,Światopoglądowe
swi009,"Czy uważasz, że edukacja powinna być darmowa dla wszystkich?",Światopoglądowe
swi010,Jak bardzo ufasz mediom?,Światopoglądowe
swi011,"Czy zgadzasz się z ideą, że pieniądze szczęścia nie dają?",Światopoglądowe
swi012,Jak bardzo ważne są dla Ciebie prawa człowieka?,Światopoglądowe
swi013,Czy wierzysz w życie po śmierci?,Światopoglądowe
swi014,"Jak bardzo uważasz, że każdy powinien dbać o środowisko?",Światopoglądowe
swi015,"Czy uważasz, że wojny są czasem konieczne?",Światopoglądowe
swi016,Jak bardzo cenisz sobie tolerancję wobec innych kultur?,Światopoglądowe
swi017,"Czy zgadzasz się z ideą, że każdy człowiek ma prawo do szczęścia?",Światopoglądowe
swi018,Jak ważna jest dla Ciebie równość szans?,Światopoglądowe
swi019,"Czy uważasz, że społeczeństwo powinno bardziej pomagać osobom potrzebującym?",Światopoglądowe
swi020,"Jak bardzo uważasz, że nauka powinna dominować nad wiarą?",Światopoglądowe
swi021,"Czy uważasz, że kara śmierci jest dopuszczalna?",Światopoglądowe
swi022,Jak bardzo popierasz ideę wolności religijnej?,Światopoglądowe
swi023,Czy zgadzasz się z koniecznością ograniczenia konsumpcji dla dobra planety?,Światopoglądowe
swi024,Jak bardzo ważne są dla Ciebie wartości rodzinne?,Światopoglądowe
swi025,"Czy uważasz, że media społecznościowe mają pozytywny wpływ na społeczeństwo?",Światopoglądowe
swi026,"Jak bardzo zgadzasz się z ideą, że każdy powinien mieć prawo do edukacji?",Światopoglądowe
swi027,"Czy uważasz, że praca powinna dawać przede wszystkim satysfakcję, a nie pieniądze?",Światopoglądowe
swi028,Jak bardzo ufasz nauce i badaniom medycznym?,Światopoglądowe
swi029,"Czy uważasz, że wolność słowa powinna mieć ograniczenia?",Światopoglądowe
swi030,"Jak bardzo uważasz, że każdy powinien ponosić odpowiedzialność za swoje czyny?",Światopoglądowe
zw001,Czy potrafisz zakochać się od pierwszego wejrzenia?,Związkowe
zw002,Czy często rozczulasz się nad romantycznymi filmami?,Związkowe
zw003,Czy potrafisz wybaczyć partnerowi dużą gafę?,Związkowe
zw004,"Czy mówisz wprost, gdy coś Ci nie pasuje w relacji?",Związkowe
zw005,Czy łatwo przywiązujesz się do drugiej osoby?,Związkowe
zw006,Czy lubisz wspólne gotowanie jako forma spędzania czasu?,Związkowe
zw007,Czy potrafisz spać spokojnie po kłótni z bliską osobą?,Związkowe
zw008,Czy potrafisz przyznać się do błędu w relacji?,Związkowe
zw009,Czy zazdrość to dla Ciebie naturalny element związku?,Związkowe
zw010,Czy jesteś typem romantyka?,Związkowe
zw011,Czy czułość w relacji jest dla Ciebie ważniejsza niż rozmowa?,Związkowe
zw012,Czy pamiętasz ważne daty w związku?,Związkowe
zw013,Czy łatwo się obrażasz w relacjach?,Związkowe
zw014,Czy wolisz spędzać czas sam na sam niż w towarzystwie znajomych?,Związkowe
zw015,Czy potrafisz utrzymać relację na odległość?,Związkowe
zw016,Czy lubisz planować wspólną przyszłość?,Związkowe
zw017,Czy ważne jest dla Ciebie poczucie humoru w związku?,Związkowe
zw018,"Czy zdarza Ci się mówić coś, czego później żałujesz?",Związkowe
zw019,Czy potrafisz rozpoznać emocje drugiej osoby bez słów?,Związkowe
zw020,Czy lubisz robić niespodzianki partnerowi?,Związkowe
zw021,Czy dla Ciebie ważniejsze są czyny niż słowa?,Związkowe
zw022,Czy umiesz zostawić partnerowi przestrzeń dla siebie?,Związkowe
zw023,Czy łatwo przyjmujesz krytykę od bliskiej osoby?,Związkowe
zw024,Czy lubisz wspólne zdjęcia i pamiątki?,Związkowe
zw025,Czy konflikty rozładowujesz żartem?,Związkowe
zw026,Czy potrafisz uszczęśliwić drugą osobę drobiazgiem?,Związkowe
zw027,Czy często wyrażasz uczucia słowami?,Związkowe
zw028,Czy jesteś gotów pójść na kompromis?,Związkowe
zw029,Czy potrafisz rozmawiać o trudnych tematach bez emocji?,Związkowe
zw030,"Czy czujesz się bezpiecznie, będąc sobą przy partnerze?",Związkowe
pk001,"Czy często fantazjujesz o osobach, które znasz?",Pikantne
pk002,Czy jesteś otwarty na próbowanie nowych rzeczy w łóżku?,Pikantne
pk003,Czy czujesz się pewnie nago przy drugiej osobie?,Pikantne
pk004,Czy ważna jest dla Ciebie chemia fizyczna w związku?,Pikantne
pk005,Czy mówisz partnerowi o swoich fantazjach?,Pikantne
pk006,Czy jesteś bardziej dominujący niż uległy?,Pikantne
pk007,Czy potrafisz flirtować bez użycia słów?,Pikantne
pk008,Czy lubisz budować napięcie zanim dojdzie do zbliżenia?,Pikantne
pk009,Czy lubisz być zaskakiwany w sypialni?,Pikantne
pk010,Czy inicjujesz zbliżenia częściej niż Twój partner?,Pikantne
pk011,Czy lubisz rozmowy o seksie?,Pikantne
pk012,Czy zdarza Ci się fantazjować w najmniej odpowiednim momencie?,Pikantne
pk013,Czy lubisz grać rolę w zbliżeniach?,Pikantne
pk014,Czy przywiązanie emocjonalne zwiększa Twoje pożądanie?,Pikantne
pk015,Czy lubisz zaskakiwać partnera czymś pikantnym?,Pikantne
pk016,Czy jesteś osobą bardziej zmysłową niż impulsywną?,Pikantne
pk017,Czy ważna jest dla Ciebie estetyka w zbliżeniach?,Pikantne
pk018,"Czy zdarza Ci się odgrywać fantazję, o której marzyłeś?",Pikantne
pk019,"Czy uważasz, że rozmowa po wszystkim jest równie ważna jak samo zbliżenie?",Pikantne
pk020,"Czy lubisz, gdy partner przejmuje inicjatywę?",Pikantne
pk021,Czy czujesz się swobodnie mówiąc „nie” nawet w intymnej sytuacji?,Pikantne
pk022,Czy Twoja wyobraźnia erotyczna bywa zaskakująca nawet dla Ciebie?,Pikantne
pk023,Czy lubisz eksperymentować z miejscem i czasem zbliżenia?,Pikantne
pk024,"Czy potrafisz szczerze powiedzieć partnerowi, co Ci się podoba?",Pikantne
pk025,Czy jesteś otwarty na wspólne odkrywanie nowych fantazji?,Pikantne
pk026,Czy potrafisz rozbudzić atmosferę jednym spojrzeniem?,Pikantne
pk027,Czy lubisz pikantne żarty i aluzje w rozmowie?,Pikantne
pk028,Czy bliskość fizyczna buduje dla Ciebie emocjonalną więź?,Pikantne
pk029,"Czy lubisz zmieniać dynamikę — raz być aktywnym, raz pasywnym?",Pikantne
pk030,Czy Twoje życie intymne to dla Ciebie temat do śmiechu i luzu?,Pikantne
lz001,"Czy zdarza Ci się zasnąć podczas oglądania filmu, który sam wybrałeś?",Luźne
lz002,"Czy myślisz, że poradziłbyś sobie w średniowieczu?",Luźne
lz003,Czy zdarza Ci się rozmawiać z psem lub kotem jak z człowiekiem?,Luźne
lz004,Czy byłbyś dobrym detektywem?,Luźne
lz005,"Czy potrafisz wyjść z domu bez sprawdzenia trzy razy, czy masz klucze?",Luźne
lz006,Czy byłbyś w stanie przeżyć tydzień bez internetu?,Luźne
lz007,"Czy potrafisz zrobić obiad z tego, co akurat masz w lodówce?",Luźne
lz008,Czy miałeś kiedyś fazę na kolekcjonowanie czegoś dziwnego?,Luźne
lz009,"Czy zdarza Ci się zapomnieć, po co wszedłeś do pokoju?",Luźne
lz010,Czy byłbyś dobrym kosmitą udającym człowieka?,Luźne
lz011,"Czy lubisz planować rzeczy, których i tak nigdy nie zrealizujesz?",Luźne
lz012,"Czy uważasz, że masz talent aktorski?",Luźne
lz013,Czy często śpiewasz w samochodzie lub pod prysznicem?,Luźne
lz014,"Czy kiedykolwiek udawałeś, że kogoś nie widzisz, żeby nie rozmawiać?",Luźne
lz015,Czy masz na sumieniu coś dziwnego z dzieciństwa?,Luźne
lz016,"Czy lubisz robić notatki, których nigdy nie czytasz?",Luźne
lz017,Czy zdarza Ci się kiedyś zjeść coś z podłogi?,Luźne
lz018,Czy mógłbyś mieszkać w domku na drzewie?,Luźne
lz019,"Czy często gubisz rzeczy, które trzymasz w ręce?",Luźne
lz020,"Czy lubisz rozwiązywać quizy, które niczego nie wnoszą?",Luźne
lz021,Czy byłbyś dobrym prowadzącym teleturniej?,Luźne
lz022,Czy kiedykolwiek miałeś poważną rozmowę z lustrem?,Luźne
